species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
tipanan,m,1.685741739,1.298853076,0.954242509,0.72427587,0.763427994,0.84509804,0.662757832,1.230448921,1.08278537,1.42975228,1.457881897,1.195899652,1.408239965,1.204119983,0.255272505,0.477121255
tipanan,m,1.716003344,1.334453751,1.004321374,0.748188027,0.770852012,0.892094603,0.643452676,1.245512668,1.100370545,1.447158031,1.484299839,1.220108088,1.421603927,1.214843848,0.230448921,0.491361694
tipanan,m,1.696356389,1.292256071,0.939519253,0.72427587,0.748188027,0.826074803,0.633468456,1.217483944,1.06069784,1.423245874,1.44870632,1.193124598,1.378397901,1.176091259,0.255272505,0.431363764
tipanan,m,1.692846919,1.326335861,0.939519253,0.716003344,0.770852012,0.84509804,0.69019608,1.212187604,1.041392685,1.380211242,1.409933123,1.152288344,1.352182518,1.198657087,0.230448921,0.447158031
tipanan,m,1.682145076,1.278753601,0.949390007,0.672097858,0.763427994,0.826074803,0.643452676,1.204119983,1.041392685,1.397940009,1.439332694,1.184691431,1.392696953,1.195899652,0.322219295,0.462397998
tipanan,m,1.665580991,1.283301229,0.963787827,0.698970004,0.770852012,0.792391689,0.602059991,1.187520721,1.037426498,1.397940009,1.431363764,1.146128036,1.36361198,1.178976947,0.255272505,0.414973348
tipanan,m,1.692846919,1.28780173,0.903089987,0.643452676,0.672097858,0.806179974,0.612783857,1.222716471,1.017033339,1.432969291,1.463892989,1.230448921,1.367355921,1.198657087,0.230448921,0.431363764
tipanan,m,1.669316881,1.283301229,0.934498451,0.748188027,0.681241237,0.770852012,0.591064607,1.212187604,1.025305865,1.426511261,1.45331834,1.209515015,1.426511261,1.238046103,0.230448921,0.431363764
tipanan,m,1.675778342,1.278753601,0.919078092,0.662757832,0.662757832,0.785329835,0.556302501,1.201397124,0.995635195,1.414973348,1.44870632,1.193124598,1.390935107,1.193124598,0.230448921,0.431363764
tipanan,m,1.656098202,1.278753601,0.929418926,0.672097858,0.69019608,0.792391689,0.591064607,1.195899652,0.944482672,1.401400541,1.42975228,1.198657087,1.392696953,1.184691431,0.204119983,0.414973348
tipanan,m,1.681241237,1.307496038,0.934498451,0.62324929,0.672097858,0.799340549,0.643452676,1.201397124,0.982271233,1.414973348,1.450249108,1.212187604,1.397940009,1.201397124,0.176091259,0.431363764
tipanan,m,1.720159303,1.311753861,0.949390007,0.672097858,0.707570176,0.792391689,0.556302501,1.230448921,1.06069784,1.376576957,1.457881897,1.206825876,1.408239965,1.225309282,0.278753601,0.544068044
tipanan,m,1.64246452,1.255272505,0.892094603,0.568201724,0.681241237,0.792391689,0.62324929,1.190331698,1,1.390935107,1.431363764,1.173186268,1.376576957,1.158362492,0.230448921,0.414973348
