SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,male,1.770631128,1.382017043,1.051923916,0.851869601,0.746634199,0.847572659,0.781036939,1.279438788,1.157758886,1.522835314,1.559906625,1.28057837,1.519565501,1.28780173,0.966141733,0.303196057,0.460897843
luzonensis,male,1.73933496,1.372359583,1.033423755,0.841984805,0.77815125,0.854306042,0.763427994,1.255031163,1.120573931,1.481442629,1.538448052,1.257198426,1.449478399,1.252124553,0.950364854,0.328379603,0.534026106
luzonensis,male,1.734159513,1.378397901,1.044147621,0.857332496,0.829303773,0.896526217,0.804139432,1.255272505,1.152288344,1.5132176,1.553033016,1.291146762,1.490520309,1.267406419,0.950364854,0.28780173,0.472756449
luzonensis,male,1.762153192,1.374198258,1.054613055,0.903089987,0.790285164,0.831229694,0.784617293,1.266231697,1.171726454,1.514547753,1.556181847,1.274619619,1.506910726,1.286905353,0.972202838,0.340444115,0.469822016
luzonensis,male,1.706803097,1.334654767,1.009450896,0.785329835,0.71432976,0.831229694,0.750508395,1.22297645,1.074084689,1.46686762,1.496791316,1.243286146,1.429429264,1.214843848,0.899273187,0.278753601,0.440909082
luzonensis,male,1.728028954,1.356981401,1.046104787,0.809559715,0.764176132,0.809559715,0.741151599,1.247727833,1.118925753,1.491641793,1.54961624,1.267171728,1.496098992,1.238547888,0.941014244,0.338456494,0.451786436
luzonensis,male,1.803252211,1.392169149,1.067070856,0.846955325,0.770115295,0.877946952,0.781755375,1.269512944,1.186673867,1.538573734,1.588943643,1.307923704,1.530199698,1.281487888,0.968482949,0.372912003,0.496929648
luzonensis,male,1.770852012,1.382017043,1.064457989,0.807535028,0.769377326,0.840733235,0.748962861,1.252367514,1.177247836,1.508260306,1.555336328,1.291146762,1.489677292,1.269746373,0.948901761,0.225309282,0.399673721
luzonensis,male,1.584331224,1.369957607,1.054613055,0.866287339,0.759667845,0.870403905,0.787460475,1.256958153,1.174059808,1.519565501,1.548266545,1.288696261,1.513483957,1.287577809,0.909556029,0.336459734,0.472756449
luzonensis,male,1.782114147,1.380573003,1.040997692,0.866287339,0.804820679,0.846337112,0.748188027,1.26245109,1.193124598,1.522444234,1.560623875,1.294466226,1.507180977,1.28780173,0.983626287,0.383815366,0.51851394
luzonensis,male,1.77261505,1.400365273,1.064083436,0.86923172,0.788875116,0.854306042,0.815577748,1.266466895,1.154423973,1.514547753,1.546048866,1.258397804,1.50501424,1.253822439,0.972665592,0.301029996,0.477121255
luzonensis,male,1.785329835,1.389874558,1.055760465,0.877371346,0.783903579,0.86923172,0.79518459,1.257438567,1.149219113,1.527629901,1.566908655,1.274157849,1.49037992,1.250175948,0.963315511,0.380211242,0.494154594
luzonensis,male,1.790285164,1.383456297,1.049218023,0.870403905,0.771587481,0.919078092,0.769377326,1.268577972,1.150142162,1.509605705,1.542451947,1.273464273,1.476976466,1.260786669,0.947433722,0.382017043,0.545307116
luzonensis,male,1.749272408,1.376576957,1.059184618,0.870403905,0.780317312,0.883661435,0.790285164,1.261976191,1.145196406,1.509740016,1.555819683,1.274619619,1.478277832,1.251151343,0.909020854,0.336459734,0.482873584
luzonensis,male,1.741151599,1.334453751,1.01911629,0.81756537,0.754348336,0.844477176,0.760422483,1.206825876,1.131939295,1.469822016,1.517063873,1.236789099,1.451786436,1.224791956,0.926342447,0.170261715,0.414973348
