species,,SVL,HL,adjHL,SL,adjSL,IND,adjIND,ED,adjED,TD,adjTD,HW,adjHW,FA,adjFA,FL,adjFL,TBL,adjTBL,TarL,adjTarL,PL,adjPL,ML,adjML,NPL,adjNPL,Toe4DW,adjToe4DW,Fin3DW,adjFIn3DW
luzonensis,1.747722462,1.63748973,1.257678575,1.38873427,0.913813852,1.024024537,0.591064607,0.686184431,0.832508913,0.887845744,0.643452676,0.741526738,1.167317335,1.285486824,0.944482672,1.041311104,1.378397901,1.493646222,1.409933123,1.526669586,1.176091259,1.285728734,1.354108439,1.449999893,1.173186268,1.282713511,0.806179974,0.899073097,0.146128036,0.219576105,0.431363764,0.496764844
luzonensis,1.747722462,1.648360011,1.255272505,1.373404523,0.919078092,1.018420671,0.602059991,0.68779985,0.740362689,0.790242639,0.643452676,0.731855449,1.164352856,1.270869404,0.959041392,1.046321369,1.376576957,1.4804604,1.421603927,1.526828763,1.170261715,1.269087609,1.361727836,1.448163232,1.181843588,1.280570119,0.832508913,0.91624165,0.176091259,0.24229646,0.380211242,0.439162984
luzonensis,1.747722462,1.63748973,1.250420002,1.381475697,0.924279286,1.034489971,0.633468456,0.72858828,0.792391689,0.84772852,0.602059991,0.700134053,1.149219113,1.267388602,0.959041392,1.055869824,1.354108439,1.46935676,1.399673721,1.516410184,1.146128036,1.255765511,1.36361198,1.459503434,1.149219113,1.258746356,0.826074803,0.918967926,0.230448921,0.30389699,0.301029996,0.366431076
luzonensis,1.747722462,1.698970004,1.303196057,1.361157854,0.949390007,0.998132715,0.662757832,0.704826328,0.857332496,0.88180623,0.716003344,0.759378406,1.206825876,1.259088511,1.021189299,1.064013458,1.437750563,1.488721258,1.475671188,1.527300041,1.235528447,1.284017642,1.419955748,1.462365511,1.225309282,1.273749724,0.851258349,0.892342045,0.278753601,0.311237364,0.431363764,0.460288597
luzonensis,1.747722462,1.800029359,1.376576957,1.314389287,1.053078443,1.000782007,0.755874856,0.710739235,0.832508913,0.806250851,0.73239376,0.685856314,1.281033367,1.224960373,1.096910013,1.050963635,1.503790683,1.449103822,1.542825427,1.487432423,1.29666519,1.24464075,1.514547753,1.469045983,1.29666519,1.244693057,0.968482949,0.924403927,0.361727836,0.326875751,0.62324929,0.592215608
luzonensis,1.747722462,1.712649702,1.31386722,1.355565224,0.968482949,1.003548694,0.62324929,0.653513575,0.832508913,0.850115439,0.716003344,0.747207579,1.190331698,1.227929697,0.963787827,0.994595739,1.399673721,1.436342292,1.45484486,1.491986913,1.201397124,1.236280491,1.404833717,1.435343511,1.23299611,1.267844404,0.838849091,0.868404906,0.230448921,0.253817901,0.51851394,0.539322609
luzonensis,1.747722462,1.787460475,1.378397901,1.331153377,1.037426498,0.997696433,0.748188027,0.713898096,0.851258349,0.831309866,0.698970004,0.663615094,1.301029996,1.258430846,1.075546961,1.04064109,1.511883361,1.470337268,1.542825427,1.500742871,1.298853076,1.259329648,1.521138084,1.486569987,1.309630167,1.270146477,0.973127854,0.93964063,0.361727836,0.335250398,0.591064607,0.567488044
luzonensis,1.747722462,1.683947131,1.278753601,1.354576092,0.963787827,1.027550403,0.633468456,0.688500189,0.785329835,0.817345051,0.633468456,0.690209368,1.193124598,1.261491753,1.008600172,1.064620423,1.408239965,1.474917074,1.457881897,1.525419973,1.225309282,1.288740226,1.436162647,1.491640807,1.212187604,1.275554773,0.857332496,0.911075967,0.204119983,0.246613486,0.462397998,0.500235902
luzonensis,1.747722462,1.754348336,1.326335861,1.318458359,0.977723605,0.971099056,0.770852012,0.765134545,0.812913357,0.809587168,0.662757832,0.656862792,1.247973266,1.240870329,1.053078443,1.047258275,1.482873584,1.475946233,1.521138084,1.514121283,1.292256071,1.285665977,1.50242712,1.496663272,1.298853076,1.292269608,0.944482672,0.938899048,0.301029996,0.296615176,0.556302501,0.55237137
luzonensis,1.747722462,1.82672252,1.389166084,1.295242915,1.064457989,0.985473731,0.763427994,0.695258844,0.857332496,0.817674467,0.748188027,0.677901675,1.324282455,1.239594393,1.1430148,1.073621149,1.5289167,1.446322139,1.568201724,1.484540663,1.320146286,1.241572828,1.542825427,1.474103277,1.328379603,1.249885145,0.995635195,0.929061846,0.397940009,0.34530227,0.633468456,0.586597722
luzonensis,1.747722462,1.773054693,1.352182518,1.322065029,1.012837225,0.98751006,0.73239376,0.710534578,0.806179974,0.793463194,0.681241237,0.658703151,1.26245109,1.235294938,1.071882007,1.049630175,1.494154594,1.467669747,1.521138084,1.494311251,1.276461804,1.251266367,1.485721426,1.463684918,1.278753601,1.253583496,0.963787827,0.942440356,0.342422681,0.325543816,0.568201724,0.553172111
luzonensis,1.747722462,1.824776462,1.394451681,1.30284218,1.071882007,0.994843418,0.740362689,0.673872792,0.886490725,0.847809617,0.698970004,0.63041506,1.328379603,1.245777715,1.149219113,1.081534879,1.531478917,1.45091896,1.575187845,1.493587659,1.328379603,1.251741695,1.534026106,1.466996831,1.342422681,1.265861827,1.012837225,0.947903819,0.342422681,0.291081601,0.579783597,0.534067459
luzonensis,1.747722462,1.726727209,1.318063335,1.343024591,0.977723605,0.998714659,0.69019608,0.708312884,0.806179974,0.816719591,0.69019608,0.708875557,1.227886705,1.250393616,1.025305865,1.043748095,1.456366033,1.47831657,1.492760389,1.514994362,1.276461804,1.297343683,1.472756449,1.49102022,1.209515015,1.230375898,0.897627091,0.915319791,0.342422681,0.356411818,0.505149978,0.517606462
luzonensis,1.747722462,1.778874472,1.336459734,1.299423109,1.025305865,0.994160085,0.73239376,0.705512691,0.748188027,0.732549718,0.643452676,0.615736733,1.281033367,1.247638412,1.096910013,1.069546087,1.499687083,1.467117657,1.537819095,1.504829116,1.294466226,1.263482437,1.499687083,1.47258795,1.290034611,1.259081974,0.949390007,0.923138208,0.322219295,0.301462711,0.51851394,0.500031452
luzonensis,1.747722462,1.793790385,1.371067862,1.316297708,1.029383778,0.983325069,0.716003344,0.676251333,0.819543936,0.796417839,0.72427587,0.683289239,1.292256071,1.242871258,1.120573931,1.080107867,1.515873844,1.467709831,1.557507202,1.508721272,1.311753861,1.265934705,1.50242712,1.462352634,1.292256071,1.246482983,1,0.961178561,0.414973348,0.384278291,0.556302501,0.528970402
luzonensis,1.747722462,1.774516966,1.354108439,1.322252453,1.017033339,0.990244194,0.707570176,0.684449199,0.86332286,0.849872019,0.672097858,0.648258788,1.276461804,1.247738096,1.075546961,1.052010669,1.488550717,1.460537063,1.525044807,1.496669427,1.298853076,1.272203262,1.492760389,1.46945185,1.269512944,1.242889925,0.973127854,0.950548126,0.278753601,0.260900423,0.579783597,0.563886418
