species,sex,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW,
luzonensis,female,Luzon,71.3,28.7,12.8,7,6.9,9.6,3.8,27.8,15.6,40.1,44.7,25.7,41,25.9,,2.4,4.3
luzonensis,female,Luzon,67.7,25,12.2,6.2,5.5,8.1,5.4,23.8,13.7,37,40.7,23.2,36.3,23,,4.9,5.5
luzonensis,female,Luzon,71,27.3,12.7,7.2,6.1,9.3,5.7,24.7,15.9,37,42.2,24.6,39,23.9,,2.5,4.6
luzonensis,female,Luzon,82,26.7,12,7.4,6.6,9.4,5.4,26.9,16.2,42.2,46.4,25.7,41.4,26.5,,2.4,4.4
luzonensis,female,Luzon,82.5,28.2,14.4,7.7,6.9,8.2,5.3,26.7,17.1,44.2,47.5,27.1,43.3,26.1,,3.2,5.1
luzonensis,female,Luzon,88.5,31,14.5,8.1,7.6,8.7,5.5,29.4,18.9,45,48.4,28.7,46.5,27.7,,3.4,5.8
luzonensis,female,Luzon,83.8,29.3,13.5,8.2,6.6,9.5,5.8,28.7,16.7,42,46.5,25.8,42.2,25.7,,3.4,5.4
albotuberculata,m,Mindanao,65,23.5,11.2,6.2,6.4,7.1,6,19,13.4,31,36.2,18.9,29.4,19.7,1.7,4.2,
albotuberculata,m,Mindanao,63.7,24,10.4,5.9,6.7,7.5,5.7,20.3,13.8,30.9,36.4,19.1,31.2,22.1,1.8,4.5,
albotuberculata,m,Mindanao,66.5,24.8,11.7,5.5,5.6,7.1,6.5,19.3,14,34.6,37,19.8,31.3,20.3,1.7,4,
albotuberculata,m,Mindanao,68.9,24.1,11.2,6.9,7.1,7.2,6,21.4,14.1,36.2,40.6,20.8,31.8,23.3,2.2,5,
albotuberculata,m,Mindanao,63.7,24.2,10.6,6.1,6.9,7,6.2,20.4,14.2,33.9,37.3,20.5,31.7,22.3,2.4,4.8,
albotuberculata,m,Samar,52.3,20.8,9.4,5.2,5.8,6.3,5.8,15.2,10.6,23.7,27.2,20,23.6,15.9,1.3,2.9,
albotuberculata,m,Samar,52.1,21.8,8.9,5.2,5.6,6.8,6.1,15.6,10.8,24,28.8,15.6,26,16.9,1.4,3,
albotuberculata,m,Samar,55.8,21.6,9.1,5.3,5.4,6.5,6.9,16.8,12.1,25.6,30.6,16.4,25.8,16,1.2,2.7,
