SPECIES,SEX,island,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
igorata,male,Luzon,50.4,20.7,9.1,4.2,5.2,6.4,3.7,17.2,10.6,27.8,29.3,16.8,26.5,16,7.4,2.2,3.4
igorata,male,Luzon,53.3,19.2,8.6,4.2,5.3,6.2,3.2,17.2,10.2,28.4,29,16.5,27.4,17.5,7.6,1.9,2.9
igorata,male,Luzon,54.9,19.8,9,4.6,5.3,6.2,3.4,16.9,11.1,29.8,31.4,18.3,28.1,16.7,8.9,2.2,3.2
igorata,male,Luzon,49.6,19.3,9,4.7,5.1,7,3.7,17.9,11.9,29.2,30.5,18.2,28.5,17.2,8.5,1.8,3.2
igorata,male,Luzon,54.3,21,9.3,4.4,5.3,6.5,3.5,18.9,11.8,30.1,31,17.6,29.2,17.6,8.8,2.3,3.8
igorata,male,Luzon,51.4,20.2,8.6,3.9,4.8,7,4.7,18,11.1,29,29.8,16.8,29.1,16.9,8,2.1,3.5
igorata,male,Luzon,54.1,20.7,8.8,4.6,4.9,7,3.7,17.9,11,28.7,29.8,16.8,27,16,7.8,2.1,3.3
igorata,male,Luzon,50.1,19.1,8.4,4.4,5.1,6.5,3.5,17.3,10.3,26.9,29.1,16.2,26.3,16.5,7.4,1.8,3.4
igorata,male,Luzon,51.9,19.3,8.4,3.8,4.7,6.5,3.5,16.9,10.8,28.6,28.7,16.8,28,17.5,7.7,1.9,3.2
igorata,male,Luzon,53.3,20.7,9.2,4.6,4.8,6.4,4.5,17.9,11.1,28.3,30.4,18,28.5,17.7,7.9,2.3,3.4
igorata,male,Luzon,51.4,20.7,8.8,4,5.1,7.1,3.8,16.7,10.7,27.6,28.7,17.1,27.1,17,8,2.2,3.1
igorata,male,Luzon,55.1,20.7,9,4.8,5.1,6.4,3.9,17.8,11.1,29.4,31.7,17.8,30.2,17.9,8,2,3.5
igorata,male,Luzon,56.2,21.6,9,4.7,4.9,7.1,3.9,18.8,10.3,30.3,31.6,17.6,29.1,18.2,8.5,2.4,3.6
igorata,male,Luzon,51.7,19.7,8.7,4.9,5,6.3,3.6,16.6,11.2,28.2,29.4,16.6,27.1,16.5,7.5,1.9,3.1
albotuberculata ,male,Leyte,56.94,22.23,10.56,6.55,5.93,6.85,5.8,17.6,12.3,28.43,31.71,17.1,27.72,18.6,8.73,1.42,3.72
albotuberculata ,male,Leyte,60.49,22.74,10.6,6.42,6.4,7.32,5.88,18.36,13.1,30.6,34.16,19.08,30.08,19.31,9.4,1.8,3.72
albotuberculata,male,Mindanao,65.02,23.54,11.18,6.17,6.41,7.11,5.99,19.01,13.36,31.03,36.22,18.94,29.41,19.72,8.53,1.71,4.17
albotuberculata,male,Mindanao,63.65,24,10.42,5.91,6.71,7.54,5.71,20.26,13.79,30.91,36.42,19.1,31.17,22.08,8.75,1.82,4.45
albotuberculata,male,Mindanao,66.54,24.81,11.73,5.54,5.55,7.06,6.45,19.3,13.99,34.64,37.03,19.81,31.33,20.32,8.07,1.68,4.02
albotuberculata,male,Mindanao,68.92,24.13,11.2,6.93,7.09,7.21,6.02,21.37,14.09,36.16,40.55,20.77,31.77,23.34,10.28,2.19,5.02
albotuberculata,male,Mindanao,63.65,24.15,10.6,6.09,6.9,6.95,6.24,20.39,14.24,33.94,37.33,20.48,31.68,22.25,9.34,2.43,4.78
albotuberculata,male,Samar,52.33,20.78,9.44,5.2,5.8,6.31,5.8,15.17,10.64,23.73,27.2,19.99,23.57,15.91,6.08,1.34,2.89
albotuberculata,male,Samar,52.1,21.78,8.9,5.15,5.62,6.75,6.07,15.6,10.84,23.96,28.83,15.63,26,16.89,6.22,1.4,3
albotuberculata,male,Samar,55.75,21.57,9.09,5.25,5.38,6.46,6.9,16.84,12.06,25.57,30.61,16.4,25.75,16.04,7.12,1.22,2.71
albotuberculata,male,Samar,55.75,22.08,9.91,5.62,6.19,6.46,6.31,16.6,11.37,28.02,38.73,16.83,28.1,18.82,6.84,1.37,3.7
albotuberculata,male,Samar,57.36,22.87,10,5.04,5.97,6.95,6.59,17.09,12.9,28.25,32.98,17.69,27.62,17.89,6.5,1.27,3.28
albotuberculata,male,Mindanao,68.6,25.6,11.9,6.32,7.58,8.14,6.41,21.64,14.57,34.97,37.8,20.18,32.26,21.33,9.49,2.24,4.68
albotuberculata,male,Mindanao,68.01,24.2,10.2,5.85,6.56,7.78,6.46,19.9,14.4,36,39,20.62,35.31,22.8,9.27,2.18,4.8
albotuberculata,male,Mindanao,60.4,22.4,10.2,6.7,6.4,6.3,5.5,19.1,11.6,32.2,34.2,19.5,33,20.9,8.3,2.1,4.1
albotuberculata,male,Mindanao,59.9,22.4,10.2,6.1,5.8,6.4,5.6,19.8,11.7,30.9,32.5,18.6,32.1,22.3,8.7,2,4.5
albotuberculata,male,Mindanao,65.4,23.5,10.6,7.1,6,6.7,4.9,20.7,12.6,34.2,36.2,20.6,32.9,22.4,9.6,2.1,4.6
albotuberculata,male,Mindanao,63.8,25.3,10.3,6.8,6.3,7.5,5.9,20.9,11.8,33.5,35.5,21.2,34.2,22.5,8.2,2.3,4.5
albotuberculata,male,Mindanao,68.6,26.7,11.3,7.6,6.8,7.5,6,21.2,13.5,37.2,40.4,22.7,38,25.7,10,2.2,5.1
albotuberculata,male,Mindanao,67.6,25.3,11.6,7.1,6.9,7.3,5.9,21.3,12.3,35.9,39.3,21.2,35.2,24.2,9.6,2.2,4.8
albotuberculata,male,Mindanao,68.3,26,11.3,7.7,6,6.9,5.9,21.3,13.7,37.2,39.8,21.7,38.1,24.4,9.7,2.4,4.2
albotuberculata,male,Mindanao,63.7,24.2,10.7,7.8,5.8,6.2,5.2,20.2,13,34.9,37.7,20.8,35.8,24.4,9.5,2.2,4.5
albotuberculata,male,Mindanao,64.5,23.3,10.6,7.4,6.4,6.6,5.5,20.1,12.8,34.3,36.1,20,34.7,23.5,9.2,2.2,4.4
albotuberculata,male,Mindanao,62.9,23.9,11,6.8,5.4,6.7,5.6,19.1,13.6,34,37.1,19.3,32,22.4,8.8,1.5,3.9
albotuberculata,male,Mindanao,58.3,23.9,10.2,5.3,5.7,6.8,5.7,18.2,12.4,33.7,37.2,20.5,34.1,21.2,8.8,1.9,4.2
albotuberculata,male,Mindanao,62.7,24.5,11.1,7.1,6,6.3,6,19.3,13.6,33.9,36.2,20.3,33.8,24.8,10.1,2.4,4
albotuberculata,male,Mindanao,67.9,26,11.1,6.6,5.7,7.2,6.1,22.1,13.2,36.9,39.7,22,36.2,23.7,9.9,2.5,4.5
albotuberculata,male,Mindanao,64.7,24.5,10.7,7.1,7.8,6.7,5.8,21.5,13.5,34.2,37.2,20.9,36.3,23.2,10,2.4,5
albotuberculata,male,Mindanao,63.6,24.3,10.7,6.1,6.5,6.6,6,20.4,12.9,34.8,36.5,20.4,33.8,21.5,9.2,2.2,4.7
everetti,male,Mindanao,79.46,30.25,13.27,7.41,7.73,8.54,8.53,25.46,18.6,43.64,47.71,25.88,43.1,26.33,12.39,2.76,4.63
everetti,male,Mindanao,78.29,29.15,13.38,7.21,7.55,7.3,7.53,25.26,16.44,40.62,44.48,24.42,39.82,24.51,11.6,2.37,4.55
everetti,male,Mindanao,61.7,22.8,10.3,6.9,5.8,6,5.7,19.5,12.8,34.5,36.8,20.7,33.9,24.5,8.5,2.1,4.4
everetti,male,Mindanao,72.4,29.4,13.3,7.9,7.6,7.5,8.4,23.8,13.3,41.8,44.6,25.5,41.9,26.8,8,2.5,3.8
everetti,male,Mindanao,76.4,28.5,12.9,7.8,7,7.2,7.6,23.9,14.1,44.2,47.4,26.5,46.6,27.8,8.7,2.8,4.2
everetti,male,Mindanao,72.7,28.6,13,7.5,7.1,7.4,8,24,13.7,41.7,44.6,24.4,41.3,26.3,8.6,2.6,4.1
everetti,male,Mindanao,65,24.1,10.7,6.9,6.4,6.1,6.3,20,12.5,35.6,38.9,21.9,36.5,21.8,9.5,2.3,3.3
everetti,male,Mindanao,64.6,24.6,11.7,7.5,6.3,7.4,6.6,21.1,12.4,38.2,41.5,23,37.4,22.6,9.3,2.3,3.4
everetti,male,Mindanao,67.9,27.2,12.4,7.5,7.2,7.2,6.6,21.6,13.4,37.4,44.8,23.7,41.8,23,8.5,2.7,3.8
visayan everetti,male,Negros,57.55,21.53,8.73,5.08,5.3,6.55,5.33,16.31,12.77,30,34.92,17.44,28.44,17.78,6.04,0.91,1.98
visayan everetti,male,Negros,56.74,21.67,9.25,5.12,5.11,6.61,5.21,16.67,12.48,30.92,33.84,17.33,28.76,18.13,7.37,1.84,3.41
visayan everetti,male,Negros,55.16,20.15,9.44,5.15,5.1,6.65,5.2,15.84,12.76,30.22,34.88,17.65,25.13,15.64,7.22,1.6,2.7
visayan everetti,male,Negros,50,22.64,10.35,5.44,5.4,7.3,5.16,17.13,13.29,31.75,34.36,18.19,27.8,17,7.91,2.09,3.27
visayan everetti,male,Negros,52.45,20,9.72,4.95,5.04,6.15,4.61,14.99,11.62,26.56,30.13,15.31,25.65,17.86,6.97,1.46,2.37
visayan everetti,male,Negros,44.61,17.3,7.11,4.3,4.4,5.3,4.12,13.6,9.6,22.5,27.06,14.05,22.7,15.34,6.76,1.42,2.67
visayan everetti,male,Negros,51.16,19.79,9,5.32,5.37,6.04,4.59,14.4,10.37,27.36,30.31,14.95,24.26,16,6.65,1.6,2.69
visayan everetti,male,Negros,45.78,18.45,8.8,5.02,4.89,5.42,3.89,13.88,9.76,27.4,29,15.2,25.94,17.4,6.88,1.72,3.03
visayan everetti,male,Negros,55.33,21,10.04,5.5,5.7,6,4.74,15.8,12.43,27.85,32.06,17.28,27.2,18.93,7,1.66,3.3
tipanan ,male,Luzon,49.3,19.3,8.89,5.02,5.8,6.5,3.4,17,10.76,27.7,30,16.02,24,16.3,7,1.7,2.9
tipanan,male,Luzon,50.2,21,9.5,5.4,5.37,6.7,4.3,16.4,11,26.8,29.4,16.24,24.7,17,7.3,2.1,3.1
tipanan,male,Luzon,48.3,19.5,8.1,5.4,5.38,6.2,4.2,15.65,11,26.3,28,14.8,23.1,14.5,7,1.4,2.5
tipanan,male,Luzon,51.4,20.1,8.5,6.2,5.9,7.15,4.3,16.5,12.34,27.15,29.7,16.4,25,15.7,7.68,1.89,2.57
tipanan,male,Luzon,51.8,19.12,8.86,5.46,5.61,6.6,3.7,16.21,12.07,26.5,29.4,16.6,25.76,18.36,7.36,1.41,2.96
tipanan,male,Luzon,50.77,21.2,9.43,5.85,5.5,6.94,4.5,16.34,11.53,26.12,29.4,15.8,24.3,15.4,7.5,1.9,3.1
tipanan,male,Luzon,49,20.34,8.83,5.44,5.23,6.4,4.6,15.97,12.05,26.1,29.5,16.4,26.61,15.11,7.5,1.9,3.07
tipanan,male,Luzon,51,20,9,5,5.3,6.4,4.4,16.34,12.6,27.1,29.4,16.7,26.1,16,7.77,1.47,2.43
tipanan,male,Luzon,46,19.5,8.5,5.4,5.4,7,4.2,15.9,11,25.67,28.15,15.13,24.3,15.17,7.45,1.72,2.67
tipanan,male,Luzon,47.1,20.67,9.24,6,5.54,6.9,4.52,15.67,10.38,24.66,25.6,14.14,23.13,14.77,7.15,1.7,2.87
tipanan,male,Luzon,50.3,20.34,9.65,4.59,5.2,6.57,4.4,16.4,11.68,26.8,27.26,14.9,23.31,16.73,7.1,1.7,3.02
tipanan,male,Luzon,52.12,20.62,9.43,5.24,5.02,6.9,4.22,17.3,11.3,27,28.89,16.14,24.99,16.16,6.12,1.85,3.17
tipanan,male,Luzon,49.3,20.6,8.99,5.3,5.3,6.65,4.8,16.38,11.6,26.78,29.33,14.93,23.57,16,6.6,1.6,2.51
tipanan,male,Luzon,48.61,19.6,8.66,5.42,5.15,6.6,4.5,16.6,11.6,27,28.6,15,23.1,15.3,6.95,1.57,2.64
tipanan,male,Luzon,50.6,21.2,9.76,5.3,5.3,7,4.5,17.4,12.14,27.95,29.63,17,25.75,17,8.53,1.72,3
tipanan,male,Luzon,45.9,18,8.3,4.8,5,6.5,3.65,14.87,10.98,25.5,27.71,14.99,22.31,15.07,7,1.3,2.18
tipanan,male,Luzon,51,21.3,9.6,5.24,5.1,7.1,4.5,17,12.3,26.8,29.37,15.8,23.41,16.17,7.12,1.71,2.84
tipanan,male,Luzon,46.9,19.2,8.62,5.5,5.27,7.1,4.25,14.77,11.06,24.84,26.74,14.9,21.72,14.23,6.78,1.63,2.24
tipanan,male,Luzon,52.1,21.1,9.3,5.25,5.68,6.94,4.83,17.14,12.63,28,30.86,16.4,26.13,16.67,7.41,1.71,2.87
tipanan,male,Luzon,47,20.4,8.66,5.3,5.86,6.62,4.7,16.97,11.6,25.5,27.76,15.74,24,16,7.15,1.7,2.75
tipanan,male,Luzon,48.52,20.68,9.41,4.83,6.12,6.75,4.73,16.45,12.39,26.89,29.12,15.41,24.65,15.7,8.45,1.84,2.65
tipanan,male,Luzon,50.5,20.58,9.15,4.85,5.34,7,4.3,17.3,12.3,27,29.5,16,26,15.54,7.46,1.89,2.76
tipanan,male,Luzon,49.93,21,9.5,4.75,5.93,7.4,5,17,12.2,26.8,29.2,26.23,25.67,16.3,8,1.8,3.11
tipanan,male,Luzon,49.23,19.83,8.83,5,5.66,7.6,4.57,16.1,11.16,24.42,26.46,14.22,21.1,14.4,6.4,2.13,2.97
tipanan,male,Luzon,47.1,20,8.48,5.15,5.7,7.5,4.3,16,11.4,25.8,27.9,15.2,23.75,15.3,7.8,1.7,2.8
tipanan,male,Luzon,50,21.4,9.3,4.7,5.7,7.3,4.62,17.3,12.2,27.4,29,16.5,26.13,16,8.25,1.7,3
tipanan,male,Luzon,48.7,20.8,8.71,4.85,5.8,7.2,3.88,17.14,12.5,26.82,29.38,16.02,24.58,15.64,7.69,1.93,2.97
tipanan,male,Luzon,50.43,20.37,9.22,4.88,5.74,6.6,4.7,16.53,11.83,25.43,28.11,15.36,23.7,16.1,7.54,1.53,2.76
tipanan,male,Luzon,49.54,21,8.44,4.77,6.15,7.1,4.5,16.17,12,27.27,28.77,16.31,25.12,15.46,7.46,1.85,3.17
tipanan,male,Luzon,50,20.5,8.73,5.15,5.86,7,4.61,17.03,11,27.1,28.98,16,25.5,15.5,8.03,1.75,2.84
tipanan,male,Luzon,51,21,9.32,4.83,5.81,7.22,4.1,17.65,11.73,27.53,29.54,15.88,25.55,16.81,7.32,1.85,2.9
tipanan,male,Luzon,48.6,20.34,8.4,4.9,5.7,6.83,4.3,16.35,12.39,26.4,28.53,15.4,24.13,16,7.64,1.82,3.02
tipanan,male,Luzon,53.55,20.94,9.27,5.1,6,7.1,4.8,17.83,12.5,28.1,31.05,16.76,26,15.7,7.4,1.96,2.87
tipanan,male,Luzon,48.53,19.93,8.95,5.3,5.76,6.95,4.64,17,12.1,26.92,28.67,15.74,25.55,15.97,7.6,1.8,2.97
tipanan,male,Luzon,52,21.6,10.05,5.6,5.91,7.8,4.36,17.6,12.59,27.99,30.53,16.6,26.36,16.4,7.84,1.72,3.06
tipanan,male,Luzon,49.7,19.6,8.7,5.3,5.63,6.7,4.34,16.45,11.5,26.54,28.11,15.64,23.87,15.03,7.34,1.75,2.71
tipanan,male,Luzon,49.32,21.17,8.66,5.2,5.89,6.95,4.85,16.34,11.02,24,25.73,14.22,22.45,15.82,6.85,1.7,2.8
tipanan,male,Luzon,48.1,19,8.9,4.73,5.8,6.71,4.4,16.02,11,24.95,27.5,15.31,24.68,15.7,6.92,2.1,2.92
tipanan,male,Luzon,46.3,19.22,9.24,4.95,5.9,6.2,4,15.41,10.9,25,26.97,13.97,23.06,15.12,7.34,1.82,2.6
tipanan,male,Luzon,49.3,19.4,8,4.4,4.7,6.4,4.1,16.7,10.4,27.1,29.1,17,23.3,15.8,7.4,1.7,2.7
tipanan,male,Luzon,46.7,19.2,8.6,5.6,4.8,5.9,3.9,16.3,10.6,26.7,28.4,16.2,26.7,17.3,7.4,1.7,2.7
tipanan,male,Luzon,47.4,19,8.3,4.6,4.6,6.1,3.6,15.9,9.9,26,28.1,15.6,24.6,15.6,7.7,1.7,2.7
tipanan,male,Luzon,45.3,19,8.5,4.7,4.9,6.2,3.9,15.7,8.8,25.2,26.9,15.8,24.7,15.3,6.9,1.6,2.6
tipanan,male,Luzon,48,20.3,8.6,4.2,4.7,6.3,4.4,15.9,9.6,26,28.2,16.3,25,15.9,6.3,1.5,2.7
tipanan,male,Luzon,52.5,20.5,8.9,4.7,5.1,6.2,3.6,17,11.5,23.8,28.7,16.1,25.6,16.8,7.8,1.9,3.5
tipanan,male,Luzon,43.9,18,7.8,3.7,4.8,6.2,4.2,15.5,10,24.6,27,14.9,23.8,14.4,7.1,1.7,2.6
tipanan,male,Luzon,52.1,20.2,9.1,5.7,5.1,8.1,4.3,17.5,10.3,26.6,28.4,16.8,26.6,17.7,7.1,1.8,3
tipanan,male,Luzon,45.9,18.3,8.3,4.8,4.4,6.6,3.6,15.7,9.9,25,26.9,15.4,24.8,15.2,6.8,1.8,2.7
tipanan,male,Luzon,44.4,19.1,8.4,4.9,4.6,6.7,4.1,15.7,9.5,25.3,27.6,15.6,24.4,16,7.2,1.5,2.8
tipanan,male,Luzon,52.7,22.1,9.63,5.7,5.8,6.7,5.1,17.1,12.5,29.2,31.8,17.18,25.4,17,8.1,2.14,2.7
sanguinea,male,Palawan,41.9,16.8,7.3,3.3,3.9,5.8,4.4,13.3,8.3,22.4,25.3,14.4,22,11.3,7.2,1.8,1.5
sanguinea,male,Palawan,40.8,16.8,7.7,3.4,3.5,5.3,4.1,13.2,9.6,23.7,27.2,15,23,11.3,7,1.5,1.2
sanguinea,male,Palawan,37.9,15.9,6.9,3,3.9,4.9,3.9,11.7,8.2,20.7,23.1,13,21.5,10.1,6.4,1.9,1
sanguinea,male,Palawan,37.3,16,6.5,2.9,3.5,5.4,4,12.2,7.6,20.4,23.9,13.4,21.5,10.8,6.9,1.6,1.4
sanguinea,male,Palawan,38.2,15.8,6.9,3.1,3.7,5.3,3.9,11.7,7.7,20.5,22.7,12.7,20.7,10.5,5.9,1.2,1.1
sanguinea,male,Palawan,39.1,15.9,6.5,3.1,3.5,4.8,3.5,12.1,7.9,21.7,24.4,13.7,21.7,10.9,6.8,1.5,1.2
sanguinea,male,Palawan,39.7,16.2,7.4,3.8,3.6,5.2,3.8,12.7,8.5,22.7,25.5,13.9,22.7,10.6,6.4,1.3,1
sanguinea,male,Palawan,38.8,16.1,7.3,3.1,4,4.4,3.8,12.3,7.9,21.7,23.8,12.9,21.3,11.1,6.4,1.3,1.1
sanguinea,male,Palawan,40.7,16.3,7.2,3.4,3.4,4.9,3.5,12.8,8.6,23.3,26.3,14.6,23.1,11.2,7.1,1.4,1.2
sanguinea,male,Palawan,42.8,16.5,7.1,3.4,3.7,5.2,3.9,13.4,8.6,22.9,26.6,14.3,23.1,11.5,7,1.5,1.2
aurantipunctata,male,Luzon,53.7,19.2,9,5.9,5.7,5.7,3.6,17.8,10.8,26,27.8,15.7,27.1,18,7.7,1.8,4.3
aurantipunctata,male,Luzon,50.5,18.6,8.3,5.8,4.9,5.6,3.4,17.6,10.4,26.2,27.5,16.3,26.1,18.4,7.7,1.8,3.9
aurantipunctata,male,Luzon,49.2,18.8,8.3,5.5,5.1,5.9,3.7,18.1,10.5,25.2,26.7,15.2,24.3,18.7,7.1,1.9,4
aurantipunctata,male,Luzon,52.6,18.5,8.3,5.6,5.1,5.3,4.1,16.8,10.8,25.9,28.1,16.2,27.5,19.3,7.2,1.8,3.8
aurantipunctata,male,Luzon,51.6,18.9,8.3,5.9,5.4,6,3.9,18.5,11.5,27.3,28.5,16.9,27.7,19.8,8.2,1.8,3.5
aurantipunctata,male,Luzon,48.8,18.8,8.2,5.7,5.4,5.7,3.7,18.2,11,25.8,27.9,16,26.7,20.1,7,1.9,3.8
aurantipunctata,male,Luzon,52.7,19,9,6.9,5.1,5.4,3.9,18.5,10.4,26.7,28.6,16.3,27.3,20.1,8.2,1.7,3.7
aurantipunctata,male,Luzon,51.4,18,8.5,6.1,5.4,4.3,3.6,17,11.2,27.5,27.7,16.3,26.3,19.9,7.8,1.9,3.9
aurantipunctata,male,Luzon,49.1,18,7.3,5.8,5.1,5.9,4.4,16.4,10.5,25,27.2,16.1,25.3,18.7,7.2,1.7,3.6
aurantipunctata,male,Luzon,48.4,18.8,8.4,5.7,5.2,5.4,4.2,17.6,11.5,25.9,26.3,15,25.2,18.9,5.9,1.7,3.9
