species,sex,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,Toe4DW,Fin3DW
visayan,f,1.901458321,1.46686762,1.10720997,1.021189299,0.785329835,1.008600172,0.755874856,1.413299764,1.184691431,1.664641976,1.705863712,1.411619706,1.62838893,1.428134794,0.414973348,0.672097858
visayan,f,1.871572936,1.423245874,1.079181246,0.86332286,0.799340549,0.908485019,0.755874856,1.352182518,1.176091259,1.609594409,1.665580991,1.40654018,1.59439255,1.367355921,0.361727836,0.579783597
visayan,f,1.878521796,1.445604203,1.096910013,0.875061263,0.826074803,0.875061263,0.785329835,1.376576957,1.201397124,1.639486489,1.680335513,1.399673721,1.626340367,1.424881637,0.707570176,0.826074803
visayan,f,1.875639937,1.442479769,1.127104798,0.944482672,0.819543936,0.851258349,0.72427587,1.396199347,1.222716471,1.631443769,1.681241237,1.404833717,1.651278014,1.444044796,0.707570176,0.819543936
visayan,f,1.892094603,1.44870632,1.100370545,0.880813592,0.86923172,0.908485019,0.770852012,1.382017043,1.264817823,1.632457292,1.694605199,1.404833717,1.609594409,1.387389826,0.322219295,0.633468456
visayan,f,1.815577748,1.414973348,1.096910013,0.792391689,0.792391689,0.875061263,0.672097858,1.330413773,1.155336037,1.553883027,1.633468456,1.340444115,1.541579244,1.346352974,0.322219295,0.568201724
visayan,f,1.876217841,1.447158031,1.11058971,0.86332286,0.86923172,0.959041392,0.740362689,1.397940009,1.240549248,1.542825427,1.644438589,1.382017043,1.561101384,1.397940009,0.397940009,0.69019608
visayan,f,1.896526217,1.439332694,1.086359831,0.812913357,0.880813592,0.944482672,0.72427587,1.367355921,1.260071388,1.57054294,1.640481437,1.350248018,1.56937391,1.372912003,0.462397998,0.698970004
visayan,f,1.820201459,1.382017043,1.056904851,0.84509804,0.838849091,0.84509804,0.69019608,1.31386722,1.204119983,1.558708571,1.629409599,1.328379603,1.567026366,1.396199347,0.397940009,0.643452676
visayan,f,1.797959644,1.369215857,1.049218023,0.785329835,0.812913357,0.875061263,0.681241237,1.301029996,1.155336037,1.487138375,1.587710965,1.309630167,1.530199698,1.336459734,0.322219295,0.531478917
visayan,f,1.812913357,1.372912003,1.029383778,0.851258349,0.851258349,0.86332286,0.698970004,1.31386722,1.170261715,1.519827994,1.600972896,1.336459734,1.552668216,1.357934847,0.397940009,0.591064607
visayan,f,1.871572936,1.424881637,1.064457989,0.851258349,0.851258349,0.880813592,0.716003344,1.334453751,1.190331698,1.568201724,1.632457292,1.359835482,1.546542663,1.344392274,0.477121255,0.602059991
visayan,f,1.796574333,1.383815366,1.049218023,0.785329835,0.806179974,0.86332286,0.785329835,1.28780173,1.139879086,1.531478917,1.583198774,1.305351369,1.506505032,1.33243846,0.322219295,0.568201724
