,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
Standard deviation,0.159963637,0.089785134,0.06257277,0.049887941,0.043912581,0.036739099,0.028461407,0.022729528,0.017910793,0.016137159,0.014428424,0.011609034,0.009337364,0.008244061,0.008079878,0.005482991
Proportion of Variance,0.55829,0.17588,0.08543,0.0543,0.04207,0.02945,0.01767,0.01127,0.007,0.00568,0.00454,0.00294,0.0019,0.00148,0.00142,0.00066
Cumulative Proportion,0.55829,0.73418,0.8196,0.8739,0.91598,0.94543,0.9631,0.97437,0.98137,0.98705,0.99159,0.99453,0.99644,0.99792,0.99934,1
