SPECIES,SEX,SVL,HL,SL,IOD,IND,ED,TD,HW,FA,FL,TBL,TarL,PL,ML,NPL,Toe4DW,Fin3DW
luzonensis,male,56.14,23.8,11.46,7.42,6.03,7.65,6.17,18.28,13.97,32.34,35.96,18.82,30.08,17.83,8.11,2.17,3.04
luzonensis,male,55.1,21.6,10.45,6.57,5.68,6.99,5.76,16.1,13.55,29.5,32.89,17.25,28.3,16.78,8.44,1.48,2.6
luzonensis,male,54.86,23.3,10.83,7.2,5.62,6.76,5.49,16.91,13.3,29.83,33.33,18.33,28.62,17.06,8.29,2.09,3.37
luzonensis,male,63.8,25.14,11.74,7.75,5.85,8.17,5.72,19.6,15.07,35.3,39.76,22.36,35,19.69,10.17,2.51,3.72
luzonensis,male,59.74,23.39,11.35,7.32,6.15,7.41,6.1,17.74,14.99,34.15,36.75,18.93,31.4,17.86,8.54,1.76,2.7
luzonensis,male,57.3,23.38,11.46,7.83,5.72,8.05,6.36,18.36,14.7,33.1,36.33,19.46,30,18.19,8.83,1.99,3.06
luzonensis,male,51.4,21.6,9.9,5.3,4.8,6.7,5.4,17.1,11.3,27.7,30.5,17.9,28.1,17.2,7.8,1.8,3.4
luzonensis,male,54.5,20.7,8.8,5.5,5.2,7.2,4.3,16.6,11,25.8,30,17.3,28.2,17,7.5,1.9,3.1
luzonensis,male,50.5,21.7,9.6,5.6,5.3,7.8,4.3,18.4,11.5,29,32.6,18.6,30.1,18.9,8.5,2.1,3.4
luzonensis,male,46.6,19,8,4,4.5,7.1,4.2,15.9,9.4,24.5,26.7,15.3,24.8,14.9,7,1.9,3
luzonensis,male,46.9,19,8.1,4.5,4.7,6.3,4.1,15.8,10.1,25,27.8,16.1,24.6,15.4,7.3,1.6,2.2
luzonensis,male,48,19,8,4.8,4.4,5.9,4.1,15.7,9.2,25.7,28.1,15.5,25,15.8,7.1,1.8,2.7
luzonensis,male,52.2,21.5,9.7,4.4,4.7,7.6,4.8,16.9,12.1,26.5,29.3,17.2,28.2,17,8,1.9,3.2
luzonensis,male,57.7,22.2,10.5,5.4,4.5,8,4.7,16.9,11.1,29.4,31.1,17.5,28.5,17.5,7.7,1.8,3.1
luzonensis,male,52.1,21.3,10,5.4,4.7,7.1,4.8,17.3,11.7,28.1,31.6,18.2,28.3,17.7,7.9,1.7,3.1
luzonensis,male,53.9,22.1,10.1,5.5,4.8,7.2,4.7,17.6,12,28.7,32.6,17.9,22.9,18.7,8.1,2,2.6
luzonensis,male,49.3,21,9.2,4.9,4.9,7,5,16.3,10.3,27.9,31.3,18,26.8,17,7.3,2,3.3
luzonensis,male,49.6,18,8.3,4.5,4,5.8,4.5,15,10.1,25.7,26.9,15.4,24.3,16,6.5,1.8,2.9
luzonensis,male,47.9,18.9,8.5,4,4.1,6.3,4.8,15.2,9.8,25,27.6,15.4,24.6,14.9,7.7,1.6,2.9
luzonensis,male,44,19.1,8.7,4,4.1,6.2,4.2,15.1,9.6,25.3,27.1,16,23.8,15.2,7,1.6,2.7
luzonensis,male,47.6,20,9,4.3,4.4,7.1,4.7,15.9,10.3,24.9,27.6,15.8,24.1,15.9,7.1,1.8,3
luzonensis,male,46.7,18,8.2,4.2,4,6,4.4,15.2,9.3,25.6,27.7,15.2,25.1,15.1,6.9,1.4,2.6
luzonensis,male,43.4,18.1,8.2,4.4,3.9,6.8,4.4,14.7,8.8,23.9,25.7,15,22.6,14.9,6.4,1.4,2.7
luzonensis,male,44.5,18,8.3,4.1,4,5.5,4.4,14.6,9.1,23.8,26.4,14.8,23,15.2,6.8,1.5,2.4
